SourceName;SourcePKName;SourceID;TargetName;TargetPKName;TargetID
<class 'str'>;<class 'str'>;<class 'str'>;<class 'str'>;<class 'str'>;<class 'str'>
Products;ProductID;1;vw_ProductsAllStatus;ProductID;1
Products;ProductID;2;vw_ProductsAllStatus;ProductID;2
Products;ProductID;3;vw_ProductsAllStatus;ProductID;3
Products;ProductID;4;vw_ProductsAllStatus;ProductID;4
Products;ProductID;5;vw_ProductsAllStatus;ProductID;5
Products;ProductID;6;vw_ProductsAllStatus;ProductID;6
Products;ProductID;7;vw_ProductsAllStatus;ProductID;7
Products;ProductID;8;vw_ProductsAllStatus;ProductID;8
Products;ProductID;9;vw_ProductsAllStatus;ProductID;9
Products;ProductID;10;vw_ProductsAllStatus;ProductID;10
Products;ProductID;11;vw_ProductsAllStatus;ProductID;11
Products;ProductID;12;vw_ProductsAllStatus;ProductID;12
Products;ProductID;13;vw_ProductsAllStatus;ProductID;13
Products;ProductID;14;vw_ProductsAllStatus;ProductID;14
Products;ProductID;15;vw_ProductsAllStatus;ProductID;15
Products;ProductID;16;vw_ProductsAllStatus;ProductID;16
Products;ProductID;17;vw_ProductsAllStatus;ProductID;17
Products;ProductID;18;vw_ProductsAllStatus;ProductID;18
Products;ProductID;19;vw_ProductsAllStatus;ProductID;19
Products;ProductID;20;vw_ProductsAllStatus;ProductID;20
Products;ProductID;21;vw_ProductsAllStatus;ProductID;21
Products;ProductID;22;vw_ProductsAllStatus;ProductID;22
Products;ProductID;23;vw_ProductsAllStatus;ProductID;23
Products;ProductID;24;vw_ProductsAllStatus;ProductID;24
Products;ProductID;25;vw_ProductsAllStatus;ProductID;25
Products;ProductID;26;vw_ProductsAllStatus;ProductID;26
Products;ProductID;27;vw_ProductsAllStatus;ProductID;27
Products;ProductID;28;vw_ProductsAllStatus;ProductID;28
Products;ProductID;29;vw_ProductsAllStatus;ProductID;29
Products;ProductID;30;vw_ProductsAllStatus;ProductID;30
Products;ProductID;31;vw_ProductsAllStatus;ProductID;31
Products;ProductID;32;vw_ProductsAllStatus;ProductID;32
Products;ProductID;33;vw_ProductsAllStatus;ProductID;33
Products;ProductID;34;vw_ProductsAllStatus;ProductID;34
Products;ProductID;35;vw_ProductsAllStatus;ProductID;35
Products;ProductID;36;vw_ProductsAllStatus;ProductID;36
Products;ProductID;37;vw_ProductsAllStatus;ProductID;37
Products;ProductID;38;vw_ProductsAllStatus;ProductID;38
Products;ProductID;39;vw_ProductsAllStatus;ProductID;39
Products;ProductID;40;vw_ProductsAllStatus;ProductID;40
Products;ProductID;41;vw_ProductsAllStatus;ProductID;41
Products;ProductID;42;vw_ProductsAllStatus;ProductID;42
Products;ProductID;43;vw_ProductsAllStatus;ProductID;43
Products;ProductID;44;vw_ProductsAllStatus;ProductID;44
Products;ProductID;45;vw_ProductsAllStatus;ProductID;45
Products;ProductID;46;vw_ProductsAllStatus;ProductID;46
Products;ProductID;47;vw_ProductsAllStatus;ProductID;47
Products;ProductID;48;vw_ProductsAllStatus;ProductID;48
Products;ProductID;49;vw_ProductsAllStatus;ProductID;49
Products;ProductID;50;vw_ProductsAllStatus;ProductID;50
Products;ProductID;51;vw_ProductsAllStatus;ProductID;51
Products;ProductID;52;vw_ProductsAllStatus;ProductID;52
Products;ProductID;53;vw_ProductsAllStatus;ProductID;53
Products;ProductID;54;vw_ProductsAllStatus;ProductID;54
Products;ProductID;55;vw_ProductsAllStatus;ProductID;55
Products;ProductID;56;vw_ProductsAllStatus;ProductID;56
Products;ProductID;57;vw_ProductsAllStatus;ProductID;57
Products;ProductID;58;vw_ProductsAllStatus;ProductID;58
Products;ProductID;59;vw_ProductsAllStatus;ProductID;59
Products;ProductID;60;vw_ProductsAllStatus;ProductID;60
Products;ProductID;61;vw_ProductsAllStatus;ProductID;61
Products;ProductID;62;vw_ProductsAllStatus;ProductID;62
Products;ProductID;63;vw_ProductsAllStatus;ProductID;63
Products;ProductID;64;vw_ProductsAllStatus;ProductID;64
Products;ProductID;65;vw_ProductsAllStatus;ProductID;65
Products;ProductID;66;vw_ProductsAllStatus;ProductID;66
Products;ProductID;67;vw_ProductsAllStatus;ProductID;67
Products;ProductID;68;vw_ProductsAllStatus;ProductID;68
Products;ProductID;69;vw_ProductsAllStatus;ProductID;69
Products;ProductID;70;vw_ProductsAllStatus;ProductID;70
Products;ProductID;71;vw_ProductsAllStatus;ProductID;71
Products;ProductID;72;vw_ProductsAllStatus;ProductID;72
Products;ProductID;73;vw_ProductsAllStatus;ProductID;73
Products;ProductID;74;vw_ProductsAllStatus;ProductID;74
Products;ProductID;75;vw_ProductsAllStatus;ProductID;75
Products;ProductID;76;vw_ProductsAllStatus;ProductID;76
Products;ProductID;77;vw_ProductsAllStatus;ProductID;77
vw_ProductsAllStatus;ProductID;5;Table_DiscontinuedStaging;StageID;1
vw_ProductsAllStatus;ProductID;9;Table_DiscontinuedStaging;StageID;2
vw_ProductsAllStatus;ProductID;17;Table_DiscontinuedStaging;StageID;3
vw_ProductsAllStatus;ProductID;24;Table_DiscontinuedStaging;StageID;4
vw_ProductsAllStatus;ProductID;28;Table_DiscontinuedStaging;StageID;5
vw_ProductsAllStatus;ProductID;29;Table_DiscontinuedStaging;StageID;6
vw_ProductsAllStatus;ProductID;42;Table_DiscontinuedStaging;StageID;7
vw_ProductsAllStatus;ProductID;53;Table_DiscontinuedStaging;StageID;8
Table_DiscontinuedStaging;StageID;1;##TempDiscontinuedBuffer;TempID;9
Table_DiscontinuedStaging;StageID;2;##TempDiscontinuedBuffer;TempID;10
Table_DiscontinuedStaging;StageID;3;##TempDiscontinuedBuffer;TempID;11
Table_DiscontinuedStaging;StageID;4;##TempDiscontinuedBuffer;TempID;12
Table_DiscontinuedStaging;StageID;5;##TempDiscontinuedBuffer;TempID;13
Table_DiscontinuedStaging;StageID;6;##TempDiscontinuedBuffer;TempID;14
Table_DiscontinuedStaging;StageID;7;##TempDiscontinuedBuffer;TempID;15
Table_DiscontinuedStaging;StageID;8;##TempDiscontinuedBuffer;TempID;16
